"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T5","T6"
0.71047,0.9059,1.20834,0.18901,0.54371,0.95051,0.66269,1.08781,1.49769,3.37769,0.8018,0.55717,1.25059,0.98984,0.97701,1.26928,1.39194,1.99791,0.3676,0.60718,0.85165
0.69824,0.77919,0.99804,0.18369,0.66981,1.0068,0.70151,1.16791,1.75279,3.88197,0.87448,0.56781,1.1301,0.86658,0.91177,1.02248,1.1019,1.81029,0.42607,0.62294,0.74102
0.55306,0.75258,0.95486,0.17962,0.43129,0.77894,0.41936,0.70781,0.77698,1.03996,0.67524,0.13955,0.8983,0.69068,0.82739,0.85346,1.05635,0.21479,0.34831,0.53676,0.56639
0.68223,0.94399,1.1879,0.14809,0.64731,1.01863,0.83695,1.05636,2.26579,3.74715,0.95067,0.45055,1.30666,1.0984,0.99947,1.29751,1.41745,1.13864,0.38757,0.76267,0.88005
0.43879,0.64766,0.7223,0.18607,0.38218,0.57424,0.55792,0.61439,1.12482,1.25367,0.52809,0.21317,0.84077,0.70549,0.6601,0.85798,0.90654,0.22129,0.29027,0.45594,0.58949
0.54396,0.68617,0.89002,0.1932,0.4661,0.76764,0.54197,0.82407,1.57474,2.99751,0.74326,0.41469,0.81086,0.62282,0.72326,0.80017,0.9557,0.90076,0.32486,0.50472,0.5035
0.5805,0.75435,0.97055,0.17788,0.50517,0.77445,0.53303,0.64946,1.14593,1.44675,0.77174,0.26362,0.71334,0.67094,0.64385,0.83609,0.86423,0.29883,0.29722,0.43587,0.59532
0.50914,0.62944,0.73359,0.18984,0.38929,0.52405,0.37469,0.57162,0.67171,1.0124,0.50916,0.18635,0.66352,0.53817,0.64218,0.74628,0.87309,0.19156,0.32261,0.43023,0.45903
0.48189,0.49758,0.7238,0.1992,0.45578,0.58921,0.36333,0.63211,0.68096,1.1327,0.62152,0.19066,0.78229,0.68177,0.59315,0.67491,0.7801,0.24463,0.28227,0.44627,0.50211
0.54405,0.70916,0.86186,0.1925,0.48189,0.73433,0.69473,0.74352,1.8124,1.86534,0.67649,0.65746,0.92639,0.89475,0.80022,0.97769,0.97844,0.34981,0.34493,0.61365,0.77959
0.56589,0.79556,1.03344,0.1837,0.55418,0.9047,0.81888,0.83165,2.15504,2.82419,0.84513,0.45828,0.85568,0.7305,0.79576,0.92568,0.96955,0.42682,0.32286,0.56956,0.73225
0.55054,0.58495,0.93786,0.17499,0.44257,0.65901,0.33318,0.61545,0.52198,0.85737,0.71792,0.1414,0.65644,0.61809,0.60085,0.70628,0.85408,0.19882,0.33348,0.42978,0.43913
0.51199,0.69298,0.85601,0.19167,0.38399,0.61256,0.37294,0.55319,0.73725,0.82027,0.63138,0.12043,0.89339,0.69765,0.64824,0.98927,0.96063,0.15582,0.26938,0.43102,0.57445
0.61555,0.65231,0.91234,0.20784,0.51751,0.70147,0.51881,0.8326,1.44544,2.22848,0.63258,0.26461,0.82153,0.70669,0.80517,0.88103,1.06613,0.53925,0.32932,0.56365,0.58362
0.61087,0.88122,1.02706,0.19169,0.54587,0.89125,1.02156,1.14286,2.35958,4.54691,0.75376,1.51565,1.03405,0.86458,0.8153,1.02735,1.11859,3.22572,0.35557,0.58628,0.77346
0.72393,0.91457,1.23663,0.21549,0.69214,1.04633,1.10164,1.27401,3.30824,6.25263,0.88469,1.21413,1.0597,1.01198,0.92067,1.26152,1.41648,2.62271,0.43505,0.7063,0.86165
0.67612,0.76364,1.02449,0.19681,0.57819,0.77632,0.63983,1.01085,1.70466,3.02704,0.76276,0.5035,0.8923,0.81211,0.76563,0.97307,1.05406,0.72133,0.39782,0.55636,0.62688
0.51341,0.74923,0.8002,0.18814,0.4348,0.75048,0.52836,0.83879,0.81306,1.28597,0.60338,0.26596,0.60282,0.60993,0.5431,0.82333,0.82768,0.26205,0.3415,0.43087,0.55335
0.54313,0.64584,0.88691,0.19591,0.45042,0.68227,0.54558,0.82931,1.36422,1.91304,0.65594,0.26154,0.76419,0.74531,0.68446,0.86016,0.8933,0.36955,0.3236,0.49809,0.63663
0.61952,0.70986,0.92367,0.18042,0.57139,0.73928,0.59632,0.66449,1.05341,1.11456,0.779,0.23409,0.74993,0.69355,0.63663,0.88914,0.97094,0.21148,0.34132,0.42035,0.58064
0.71142,0.75572,0.99739,0.1752,0.65864,0.85443,0.97763,1.01376,2.76964,3.75681,0.73166,1.2611,1.16426,1.04964,0.93447,1.18637,1.27752,0.65086,0.43823,0.66361,0.83842
0.52448,0.69796,0.82414,0.19054,0.42914,0.75147,0.6208,0.74635,1.23594,1.73597,0.61366,0.52846,0.6145,0.61787,0.64811,0.67671,0.8658,0.49869,0.31586,0.46991,0.52043
0.55147,0.54984,0.86858,0.18565,0.47869,0.64864,0.58065,0.81376,1.69671,2.61214,0.62772,0.35818,0.90444,0.78388,0.7713,0.86779,1.03648,0.61402,0.33128,0.55877,0.59928
0.49723,0.59406,0.73926,0.1713,0.40998,0.59218,0.38215,0.71823,0.98493,1.5901,0.55335,0.20634,0.78737,0.70561,0.69961,0.75771,0.88958,0.38282,0.30131,0.50219,0.5667
0.53181,0.63542,0.67275,0.1836,0.38641,0.61557,0.28661,0.61886,0.51163,0.77861,0.55616,0.13566,0.56363,0.54878,0.51793,0.82722,0.82404,0.16153,0.33559,0.40784,0.53681
0.54442,0.54044,0.70366,0.18479,0.42954,0.54401,0.37476,0.53982,0.89512,1.154,0.54886,0.17607,0.84682,0.70304,0.75683,0.82027,0.96651,0.19905,0.3362,0.47621,0.52888
0.49054,0.50856,0.6462,0.19239,0.36324,0.5587,0.30897,0.60271,0.58608,0.86868,0.51166,0.10062,0.72406,0.6251,0.70785,0.65145,0.72478,0.19396,0.31478,0.51755,0.57119
0.55295,0.55502,0.90628,0.16737,0.4895,0.5414,0.3509,0.54749,0.55093,0.78386,0.63868,0.15576,0.60032,0.61495,0.62259,0.68155,0.86515,0.15462,0.3372,0.45314,0.48873
0.39442,0.47097,0.6355,0.18462,0.3542,0.57557,0.26514,0.65839,0.40973,0.74139,0.55002,0.10064,0.48145,0.56206,0.44043,0.55446,0.5573,0.16116,0.28253,0.35145,0.45062
0.42714,0.44928,0.59618,0.18874,0.32378,0.45089,0.24423,0.48679,0.3816,0.57403,0.44961,0.09266,0.51533,0.50524,0.52733,0.52155,0.60019,0.12887,0.26459,0.40205,0.39504
0.46167,0.54572,0.64232,0.17951,0.35968,0.57668,0.26001,0.63035,0.34838,0.67044,0.47277,0.09577,0.79659,0.70642,0.71634,0.7411,0.78414,0.209,0.32911,0.53772,0.50362
0.43211,0.50444,0.62274,0.20377,0.31912,0.52115,0.23939,0.53295,0.31695,0.5317,0.47251,0.09181,0.60271,0.55425,0.61261,0.5926,0.59163,0.15094,0.29666,0.44818,0.45991
0.40079,0.52058,0.63305,0.17831,0.34437,0.55104,0.24223,0.61518,0.29083,0.54039,0.49735,0.09588,0.48942,0.46536,0.44833,0.61274,0.57211,0.13899,0.25835,0.37193,0.44006
0.41459,0.47004,0.60368,0.19922,0.36536,0.46342,0.24448,0.47161,0.31414,0.43324,0.4998,0.09339,0.48767,0.52894,0.45404,0.5992,0.54497,0.09898,0.26629,0.35077,0.53002
0.48595,0.54947,0.6354,0.19494,0.41767,0.51796,0.30911,0.50207,0.32153,0.47012,0.58961,0.14024,0.66261,0.5959,0.5719,0.69324,0.65724,0.13258,0.33823,0.42893,0.64246
0.44136,0.43498,0.56554,0.19421,0.3482,0.45638,0.23758,0.42631,0.29938,0.45861,0.45994,0.09469,0.48241,0.46493,0.46502,0.45309,0.52017,0.13456,0.24826,0.38363,0.38368
0.64078,1.90951,0.95973,0.14523,1.72201,1.2642,1.54451,0.98785,5.70244,5.5898,1.42777,1.1243,0.54256,0.809,0.53393,0.9266,0.75338,0.3426,1.69789,2.02842,1.20498
0.42422,0.58504,0.54906,0.15011,0.43684,0.48913,0.25128,0.48718,0.31577,0.49525,0.53273,0.12649,0.55557,0.64863,0.47343,0.67988,0.59874,0.16616,0.2715,0.35853,0.65767
0.44759,0.58563,0.63805,0.14313,0.41402,0.46744,0.21967,0.43074,0.2923,0.48653,0.45456,0.09767,0.56009,0.57396,0.52954,0.66176,0.66758,0.17675,0.2803,0.37842,0.5671
0.55892,0.64009,0.71236,0.15296,0.52229,0.60822,0.33523,0.56152,0.52215,0.81954,0.65175,0.16384,0.54707,0.53987,0.57146,0.6733,0.77748,0.17261,0.30797,0.43746,0.55011
0.48051,0.61359,0.64979,0.15264,0.45711,0.51088,0.24382,0.51307,0.30039,0.5443,0.5236,0.09761,0.51423,0.58432,0.53867,0.65544,0.67615,0.16633,0.27486,0.38451,0.59758
0.47074,0.64333,0.61113,0.2177,0.42869,0.53108,0.2303,0.56372,0.31066,0.55737,0.53596,0.09949,0.48462,0.58751,0.53949,0.69003,0.60202,0.27687,0.28729,0.39684,0.64718
